DATA;REINICIO;REDUCOES;CANC;COD PRI;COD ULT;VB;CANC;DESC;VL;GTI;GTF;VB-CANC;SOMA(SUB_TOTAL);(VB-CANC)-(SOMA(SUB_TOTAL))
20120102;4;1488;158;21292;21329;563287;;26769;536518;719849941;720413228;563287;563287;0
20120103;4;1489;158;21332;21377;679639;;39078;640561;720413228;721092867;665839;679639;-13800
20120104;4;1490;158;21380;21425;771583;;59004;712579;721092867;721864450;773783;771583;2200
20120105;4;1491;159;21428;21793;972283;26158;50480;895645;721864450;722836733;943925;946125;-2200
20120106;4;1492;160;21496;21566;1092957;21590;67120;1004247;722836733;723929690;1071367;1071367;0
20120107;4;1493;162;21569;21622;867471;47430;46094;773947;723929690;724797161;845611;820041;25570
20120109;4;1494;163;21625;21708;1118190;15620;63812;1038758;724797161;725915351;1102570;1102570;0
20120110;4;1495;163;21711;21769;954720;;55243;899477;725915351;726870071;954720;954720;0
20120111;4;1496;163;21772;21824;846450;;42703;803747;726870071;727716521;846450;846450;0
20120112;4;1497;163;21827;21891;948049;;43865;904184;727716521;728664570;948049;948049;0
20120113;4;1498;163;21894;21959;943812;;82353;861459;728664570;729608382;943812;943812;0
20120114;4;1499;164;21962;22029;1125880;7720;39404;1078756;729608382;730734262;1107690;1118160;-10470
20120116;4;1500;165;22032;22112;1281941;39150;68650;1174141;730734262;732016203;1242791;1242791;0
20120117;4;1501;165;22115;22203;1110049;;51055;1058994;732016203;733126252;1110049;1110049;0
20120118;4;1502;166;22206;22278;998880;18390;45876;934614;733126252;734125132;980490;980490;0
20120119;4;1503;167;22281;22351;1035795;18460;79340;937995;734125132;735160927;1000165;1017335;-17170
20120120;4;1504;167;22354;22406;909164;;36103;873061;735160927;736070091;909164;909164;0
20120121;4;1505;167;22410;22511;1635788;;74315;1561473;736070091;737705879;1635788;1635788;0
20120123;4;1506;168;22514;22615;1571715;16140;77973;1477602;737705879;739277594;1555575;1555575;0
20120124;4;1507;168;22618;22699;1124374;;80747;1043627;739277594;740401968;1114894;1124374;-9480
20120125;4;1508;168;22702;22774;1283343;;74085;1209258;740401968;741685311;1283343;1283343;0
20120126;4;1509;169;22777;22846;1031664;15610;59293;956761;741685311;742716975;1016054;1016054;0
20120127;4;1510;169;22489;22930;1242836;;72745;1170091;742716975;743959811;1219676;1242836;-23160
20120128;4;1511;171;22933;23031;1620720;14470;62538;1543712;743959811;745580531;1606250;1606250;0
20120130;4;1512;171;23034;23122;1139885;;67413;1072472;745580531;746720416;1134405;1139885;-5480
20120131;4;1513;172;23124;23221;1426211;5110;79738;1341363;746720416;748146627;1421101;1421101;0
